row_index,requestId,processId,Month_Str,TAT_Days,TAT_Bucket,Hold_Count,onHoldReasonDescription,Hold_Days
54,REQZKDU6FOTWFTQ,PRCNGAY37VG,2025-01,,,2.0,Underwriting questions review needed,0.625
56,REQO17RV2Y7CDAB,PRC80NKXKBE,2025-03,,,3.0,Unknown,2.4583333333333335
56,REQO17RV2Y7CDAB,PRC80NKXKBE,2025-03,,,3.0,Unknown,3.0
56,REQO17RV2Y7CDAB,PRC80NKXKBE,2025-03,,,3.0,Unknown,1.4583333333333333
63,REQ86ADNOKKU3S7,PRC3CYBYC4I,2025-04,5.25,5-7 days,1.0,Missing documents customer to provide,1.2083333333333333
64,REQF2UWUFUK15U2,PRCU8BWAUFX,2025-08,,,1.0,Unknown,2.7916666666666665
65,REQYP15I3IEST9O,PRCERC4R6S3,2025-01,,,1.0,Payment pending confirm receipt,324.875
69,REQNTZ7PJSFPFMN,PRC2JOZIBP9,2025-07,,,2.0,Missing documents customer to provide,1.625
69,REQNTZ7PJSFPFMN,PRC2JOZIBP9,2025-07,,,2.0,Missing documents customer to provide,1.1666666666666667
72,REQ11BLF1XOYC6H,PRC59P0QVHZ,2025-05,8.708333333333334,7+ days,2.0,System issue retry later,60.625
72,REQ11BLF1XOYC6H,PRC59P0QVHZ,2025-05,8.708333333333334,7+ days,2.0,System issue retry later,0.75
75,REQW6VGK4Y32HME,PRCR8133HBA,2025-03,,,2.0,Payment pending confirm receipt,30.5
75,REQW6VGK4Y32HME,PRCR8133HBA,2025-03,,,2.0,Payment pending confirm receipt,61.333333333333336
76,REQB09UW8PDWXEZ,PRCHK94W6WU,2025-10,,,1.0,Underwriting questions review needed,1.5833333333333333
78,REQTO914YBNUS7P,PRC0V0HXEF7,2025-03,,,1.0,Customer request waiting response,2.875
79,REQ8BOT6ATJ4MDH,PRC0J49TO5A,2025-08,,,3.0,Unknown,0.5833333333333334
79,REQ8BOT6ATJ4MDH,PRC0J49TO5A,2025-08,,,3.0,Unknown,1.9166666666666667
79,REQ8BOT6ATJ4MDH,PRC0J49TO5A,2025-08,,,3.0,Unknown,1.125
84,REQ15F9MZ99ZJUK,PRCFERFT5P0,2025-08,,,2.0,System issue retry later,59.291666666666664
84,REQ15F9MZ99ZJUK,PRCFERFT5P0,2025-08,,,2.0,System issue retry later,91.95833333333333
86,REQOSTUZHG1GF4O,PRC21D5C21O,2025-11,,,1.0,System issue retry later,1.6666666666666667
87,REQIGJD3X4YH5HO,PRC6K6HGQ6S,2025-09,,,1.0,Missing documents customer to provide,61.291666666666664
90,REQK80XTAOFZD6K,PRCJA6614RS,2025-11,,,2.0,Customer request waiting response,91.91666666666667
90,REQK80XTAOFZD6K,PRCJA6614RS,2025-11,,,2.0,Customer request waiting response,30.541666666666668
91,REQND3Y9QB0E7CX,PRCTHLVJYQT,2025-01,1.375,1-4 days,3.0,Unknown,61.916666666666664
91,REQND3Y9QB0E7CX,PRCTHLVJYQT,2025-01,1.375,1-4 days,3.0,Unknown,31.333333333333332
91,REQND3Y9QB0E7CX,PRCTHLVJYQT,2025-01,1.375,1-4 days,3.0,Unknown,29.541666666666668
95,REQI4SE4KBL5VGG,PRCHUGXNS8E,2025-04,,,1.0,Payment pending confirm receipt,1.0
96,REQJ2K3TYDCCPVB,PRC4X76BT3P,2025-08,,,1.0,Payment pending confirm receipt,28.083333333333332
99,REQZSSJNJ8TH1PQ,PRCN4XJ765V,2025-01,6.75,5-7 days,1.0,Payment pending confirm receipt,2.0
100,REQSIKJAZF7489N,PRCZQNKYP1M,2025-11,,,1.0,Payment pending confirm receipt,0.08333333333333333
101,REQYQO89LG7V6TV,PRC94NA46N0,2025-01,4.458333333333333,5-7 days,1.0,System issue retry later,2.5833333333333335
104,REQHDV9NM301DVV,PRCBT8ZEH3R,2025-08,5.333333333333333,5-7 days,1.0,Unknown,90.25
106,REQ74ZEMG025582,PRCVMKC11XH,2025-11,,,3.0,System issue retry later,2.125
106,REQ74ZEMG025582,PRCVMKC11XH,2025-11,,,3.0,System issue retry later,2.7083333333333335
106,REQ74ZEMG025582,PRCVMKC11XH,2025-11,,,3.0,System issue retry later,1.2916666666666667
112,REQOEQXADGYUJGB,PRCN8FITOZA,2025-01,,,2.0,Missing documents customer to provide,2.875
112,REQOEQXADGYUJGB,PRCN8FITOZA,2025-01,,,2.0,Missing documents customer to provide,2.7083333333333335
113,REQEWV000PN58IH,PRCMSUIQI2S,2025-04,4.875,5-7 days,3.0,Unknown,0.2916666666666667
113,REQEWV000PN58IH,PRCMSUIQI2S,2025-04,4.875,5-7 days,3.0,Unknown,1.25
113,REQEWV000PN58IH,PRCMSUIQI2S,2025-04,4.875,5-7 days,3.0,Unknown,1.6666666666666667
116,REQXG4XNUBY8634,PRCWWO6NLPV,2025-03,3.875,1-4 days,1.0,Customer request waiting response,62.125
117,REQB0TA6YY5XHQ3,PRCP6PNU0KI,2025-01,,,2.0,Customer request waiting response,0.041666666666666664
117,REQB0TA6YY5XHQ3,PRCP6PNU0KI,2025-01,,,2.0,Customer request waiting response,88.91666666666667
118,REQB6UXQRKUW203,PRC6GPN1MXK,2025-08,,,1.0,Unknown,1.125
121,REQHFA58S9EP5RO,PRCS6QIJ88A,2025-04,,,1.0,Underwriting questions review needed,29.958333333333332
123,REQF1PT6TROUWFI,PRC7JORDBIQ,2025-06,,,1.0,Missing documents customer to provide,0.5833333333333334
127,REQUJUM3AY4L6SO,PRCBJVJKXXK,2025-07,,,1.0,Unknown,60.541666666666664
131,REQUGKZESFKV3RQ,PRCQJZ6PEYM,2025-08,,,1.0,Missing documents customer to provide,61.416666666666664
132,REQK5SLSBJLVY6L,PRC5M4EO0XJ,2025-05,,,1.0,Underwriting questions review needed,1.9166666666666667
138,REQFA4AFM3MHPDP,PRCEY6DRHY1,2025-04,,,1.0,Customer request waiting response,1.4166666666666667
141,REQ6C5TG8BKA8V0,PRC7HAWQDUI,2025-06,,,1.0,System issue retry later,1.8333333333333333
144,REQXLGFWMVYTSU2,PRC6WF6B3IS,2025-12,,,1.0,Payment pending confirm receipt,90.45833333333333
147,REQ7SNVCE8XPU46,PRC0DPIMRBZ,2025-07,,,1.0,Payment pending confirm receipt,0.041666666666666664
149,REQG1IGAE7UTEI5,PRC5XTEBI7T,2025-08,2.875,1-4 days,1.0,Payment pending confirm receipt,0.08333333333333333
156,REQLQFSDA8980BT,PRCLAA6UYPV,2025-05,13.25,7+ days,1.0,Customer request waiting response,2.0416666666666665
157,REQEQLV488PKWTZ,PRCY3N0MWFS,2025-11,,,1.0,Missing documents customer to provide,2.25
158,REQAV85886D6IWK,PRCIFMPEOSO,2025-03,,,1.0,Customer request waiting response,2.7083333333333335
159,REQTDRJDL2ANPS4,PRCRXE78D29,2025-03,,,1.0,Underwriting questions review needed,0.4166666666666667
162,REQ0TRVTFMRMQ9P,PRCC6ZH6DU9,2025-08,,,1.0,System issue retry later,0.625
164,REQKKTDNUMVEXG4,PRCVDCF33U6,2025-01,,,1.0,Customer request waiting response,28.041666666666668
172,REQHOI9SSMUSJ1H,PRCU81CVYS2,2025-04,2.625,1-4 days,1.0,System issue retry later,28.416666666666668
173,REQAV41B8E9UF3Q,PRC90YMT0W3,2025-11,,,2.0,Missing documents customer to provide,2.0833333333333335
173,REQAV41B8E9UF3Q,PRC90YMT0W3,2025-11,,,2.0,Missing documents customer to provide,1.8333333333333333
175,REQNTCUNBDZCF5A,PRCLG3T9PC7,2025-03,,,1.0,Underwriting questions review needed,0.375
177,REQG2L3AJ87WLYZ,PRC42I3P4LF,2025-02,4.25,5-7 days,1.0,Unknown,0.9583333333333334
179,REQ696EM7R3QCQA,PRC4PUGQ9ML,2025-08,5.291666666666667,5-7 days,1.0,Unknown,2.0
183,REQ9GK0SORNC116,PRCBI7NE86Z,2025-06,7.041666666666667,7+ days,1.0,Payment pending confirm receipt,1.0
190,REQE68PO55QY6OR,PRCEU6RLN7O,2025-04,4.416666666666667,5-7 days,1.0,Customer request waiting response,60.541666666666664
194,REQKNTK3IH714U6,PRCHE2O1J4J,2025-10,9.333333333333334,7+ days,1.0,System issue retry later,2.5833333333333335
196,REQXHRUSZVD006T,PRCV57HDIJW,2025-08,,,1.0,Payment pending confirm receipt,2.75
198,REQJP50EOZORXVJ,PRC9NVTNIC4,2025-12,3.2916666666666665,1-4 days,1.0,Payment pending confirm receipt,0.5833333333333334
202,REQLZTE44RWUG16,PRCH1NBZOYW,2025-08,,,1.0,Payment pending confirm receipt,30.5
203,REQ0HH3FC5P2UR3,PRC8VD3RRJ1,2025-02,,,1.0,Customer request waiting response,1.2916666666666667
207,REQV7K5UGLXKRGJ,PRCHGRP1CCA,2025-03,,,2.0,Unknown,0.9583333333333334
207,REQV7K5UGLXKRGJ,PRCHGRP1CCA,2025-03,,,2.0,Unknown,1.625
209,REQEVAYK8KF780C,PRCRAGJEDAM,2025-07,,,1.0,Missing documents customer to provide,2.1666666666666665
213,REQS1PR6GBF6OVJ,PRC3F4KZL67,2025-10,,,1.0,Customer request waiting response,31.5
217,REQW1Z9YUD2XD3T,PRCERHPXXZ9,2025-12,,,2.0,System issue retry later,61.416666666666664
217,REQW1Z9YUD2XD3T,PRCERHPXXZ9,2025-12,,,2.0,System issue retry later,31.166666666666668
218,REQEMYXADLUSSH1,PRCXG33Y6Y7,2025-11,,,1.0,Missing documents customer to provide,61.5
225,REQQQEW0RJAOKYM,PRCUCXU3T4Z,2025-01,,,1.0,Underwriting questions review needed,2.1666666666666665
228,REQ40M9JTBEPRNA,PRCJJ5E2BPK,2025-03,,,1.0,Underwriting questions review needed,1.0833333333333333
229,REQSI1COXPY5J3S,PRCX9OV7YS1,2025-12,,,1.0,Missing documents customer to provide,1.4583333333333333
230,REQ5AKOEFJOKNPH,PRC5HCK1DIV,2025-10,,,1.0,Payment pending confirm receipt,0.25
232,REQV5ZKNI6KKQVG,PRC420Q235G,2025-04,3.75,1-4 days,2.0,Customer request waiting response,30.791666666666668
232,REQV5ZKNI6KKQVG,PRC420Q235G,2025-04,3.75,1-4 days,2.0,Customer request waiting response,61.083333333333336
234,REQKF1EJ5Y3VOZ3,PRCB77UQNYB,2025-03,,,1.0,Payment pending confirm receipt,1.8333333333333333
235,REQSJ4FHCU63JI1,PRC81EWHVF1,2025-04,,,1.0,Missing documents customer to provide,0.9166666666666666
236,REQ1HCM3DVJCF9T,PRC1FUSDSMD,2025-10,13.875,7+ days,1.0,System issue retry later,2.75
238,REQPR1Q9Z3IG3NH,PRCPUWFQ98V,2025-11,6.791666666666667,5-7 days,1.0,Payment pending confirm receipt,1.375
241,REQ3FKXN0396W32,PRCXDNOPIBB,2025-05,,,2.0,Payment pending confirm receipt,1.2916666666666667
241,REQ3FKXN0396W32,PRCXDNOPIBB,2025-05,,,2.0,Payment pending confirm receipt,1.875
243,REQ6WCZJX59R04Y,PRCVCF5YYE5,2025-06,5.5,5-7 days,1.0,Payment pending confirm receipt,0.25
246,REQORGERRGNT1JB,PRC286GHZNZ,2025-03,,,3.0,Underwriting questions review needed,91.08333333333333
246,REQORGERRGNT1JB,PRC286GHZNZ,2025-03,,,3.0,Underwriting questions review needed,0.4166666666666667
251,REQ6PNMMMG129AY,PRCCDKPLO8P,2025-04,,,1.0,Payment pending confirm receipt,0.2916666666666667
253,REQ8Y6UEAJM8XBA,PRCNWZB9LMY,2025-08,3.75,1-4 days,2.0,Customer request waiting response,1.4583333333333333
253,REQ8Y6UEAJM8XBA,PRCNWZB9LMY,2025-08,3.75,1-4 days,2.0,Customer request waiting response,0.125
256,REQ12JUNS8WGBJ4,PRCE1PBT1Q2,2025-04,5.041666666666667,5-7 days,1.0,System issue retry later,0.16666666666666666
257,REQ1OUC89HVELD5,PRCKKUC8AK2,2025-04,2.5,1-4 days,1.0,Underwriting questions review needed,58.5
258,REQMKLGKEH9W3B4,PRCURMHNAJ1,2025-06,,,1.0,System issue retry later,29.916666666666668
259,REQMWF0L2D2QUXG,PRCBCDW57IA,2025-04,,,1.0,Payment pending confirm receipt,1.0833333333333333
261,REQQEJ7O82H3RXN,PRCD81MGQYO,2025-05,,,1.0,Payment pending confirm receipt,0.4583333333333333
265,REQE75IHL2TJHG1,PRCWOE9WNQX,2025-01,,,1.0,Customer request waiting response,0.16666666666666666
268,REQ5XHS6JEC6E3C,PRCUHRZWI2P,2025-06,,,1.0,Payment pending confirm receipt,60.833333333333336
269,REQTUXIVJTSOZS2,PRC7CMX3IMW,2025-05,,,1.0,Customer request waiting response,2.125
274,REQOB8X1FE8K73U,PRCM3LW87OX,2025-03,,,1.0,Payment pending confirm receipt,30.375
275,REQC1L9FJ7U08WM,PRCNK4U6X3H,2025-12,,,1.0,Underwriting questions review needed,1.2083333333333333
276,REQA5XEV0YPMWK8,PRC5TAXUVOZ,2025-05,,,1.0,Missing documents customer to provide,2.125
279,REQ83V5QENHSWDF,PRC292HKQI5,2025-07,,,1.0,Underwriting questions review needed,1.5
281,REQL7K3FN3L68EV,PRCK35HXDOC,2025-05,,,1.0,System issue retry later,0.5416666666666666
282,REQQPWHTYZJPIYF,PRCXTXOQDV0,2025-11,,,2.0,Underwriting questions review needed,0.5833333333333334
282,REQQPWHTYZJPIYF,PRCXTXOQDV0,2025-11,,,2.0,Underwriting questions review needed,2.875
289,REQ7HU3OALKA91A,PRC80F4V5F3,2025-09,,,2.0,Underwriting questions review needed,1.875
289,REQ7HU3OALKA91A,PRC80F4V5F3,2025-09,,,2.0,Underwriting questions review needed,2.125
291,REQ3OVQZFW3BWEE,PRC2IKBE0QA,2025-01,,,1.0,Missing documents customer to provide,0.7083333333333334
292,REQ98Y27BRT8ID9,PRC8DSS13VJ,2025-10,6.916666666666667,5-7 days,1.0,Customer request waiting response,2.2916666666666665
294,REQZY5IK1B5F83X,PRCF06LHU9H,2025-07,,,1.0,Missing documents customer to provide,2.0
301,REQBVFPGSN11VRU,PRC23NRS1WV,2025-08,3.7916666666666665,1-4 days,1.0,Unknown,2.7083333333333335
306,REQP91IK9PWKWXX,PRCDYQ8MWOI,2025-08,1.875,1-4 days,1.0,Payment pending confirm receipt,0.9583333333333334
310,REQO724M9RABPKQ,PRC9SY4YSLC,2025-05,,,2.0,Missing documents customer to provide,2.9583333333333335
310,REQO724M9RABPKQ,PRC9SY4YSLC,2025-05,,,2.0,Missing documents customer to provide,0.2916666666666667
313,REQJZ16BLUJI2ZZ,PRCAVBMWBG1,2025-11,,,1.0,Unknown,1.5
316,REQ2J1NKL45NXMZ,PRCE1QIZ432,2025-12,,,1.0,Unknown,31.708333333333332
320,REQKSJ4LNY4EIYP,PRCO23C55KW,2025-07,,,1.0,Customer request waiting response,2.5416666666666665
322,REQ3JSXB95VBBQI,PRC97HYS5QZ,2025-02,,,1.0,Customer request waiting response,0.25
325,REQF48955IXC82Q,PRCH34AGUWV,2025-07,,,3.0,Underwriting questions review needed,2.8333333333333335
325,REQF48955IXC82Q,PRCH34AGUWV,2025-07,,,3.0,Underwriting questions review needed,0.125
325,REQF48955IXC82Q,PRCH34AGUWV,2025-07,,,3.0,Underwriting questions review needed,1.3333333333333333
327,REQ3IM6PY3LTU37,PRCGO7YE539,2025-08,2.875,1-4 days,1.0,Underwriting questions review needed,1.625
328,REQD8J6BS751B1A,PRC14Y0FS5B,2025-06,,,3.0,Unknown,89.45833333333333
328,REQD8J6BS751B1A,PRC14Y0FS5B,2025-06,,,3.0,Unknown,61.583333333333336
329,REQMMGMQ5VZ3TWR,PRCPXRJAIJQ,2025-11,1.5833333333333333,1-4 days,2.0,Underwriting questions review needed,1.625
329,REQMMGMQ5VZ3TWR,PRCPXRJAIJQ,2025-11,1.5833333333333333,1-4 days,2.0,Underwriting questions review needed,2.0833333333333335
333,REQFV1XQ7JJZL6O,PRCMSARDE05,2025-01,10.833333333333334,7+ days,2.0,Missing documents customer to provide,30.75
333,REQFV1XQ7JJZL6O,PRCMSARDE05,2025-01,10.833333333333334,7+ days,2.0,Missing documents customer to provide,90.5
338,REQKWP7M3LIOXM5,PRC3SITCIV9,2025-01,,,1.0,Underwriting questions review needed,2.5833333333333335
342,REQJ8JFS4ZOSAHG,PRCHYDVS8FP,2025-05,,,1.0,Unknown,0.6666666666666666
344,REQH7DT6GSH3H22,PRCVBQ2N9CW,2025-12,4.666666666666667,5-7 days,1.0,Missing documents customer to provide,0.8333333333333334
348,REQ4GRG3WATQRNM,PRCYY3GDU4E,2025-07,6.75,5-7 days,1.0,Payment pending confirm receipt,0.9583333333333334
351,REQ8WO6191BVW85,PRCYWVJ8ACX,2025-07,4.083333333333333,5-7 days,1.0,Customer request waiting response,0.5
353,REQY4OML62GXE4W,PRCNMYNSD45,2025-02,4.125,5-7 days,2.0,System issue retry later,59.333333333333336
354,REQ2LNHFKB90S5Y,PRC8V0B9Z2Q,2025-01,,,1.0,Customer request waiting response,60.916666666666664
355,REQ3LVV2BA738EJ,PRCWUN1T1V5,2025-01,,,2.0,Customer request waiting response,0.4583333333333333
355,REQ3LVV2BA738EJ,PRCWUN1T1V5,2025-01,,,2.0,Customer request waiting response,2.25
356,REQ4BTA5B205PEW,PRC523CC42N,2025-10,,,1.0,Unknown,60.416666666666664
357,REQJVL37A2OB3D9,PRCZJE2ST3V,2025-05,,,3.0,Missing documents customer to provide,0.041666666666666664
357,REQJVL37A2OB3D9,PRCZJE2ST3V,2025-05,,,3.0,Missing documents customer to provide,2.8333333333333335
357,REQJVL37A2OB3D9,PRCZJE2ST3V,2025-05,,,3.0,Missing documents customer to provide,2.5416666666666665
359,REQ7POCXXU5WZU4,PRCAW84WXBX,2025-05,,,2.0,Underwriting questions review needed,0.625
359,REQ7POCXXU5WZU4,PRCAW84WXBX,2025-05,,,2.0,Underwriting questions review needed,2.5
362,REQY0OCULIEACPO,PRCMY8U9X16,2025-04,3.75,1-4 days,1.0,Underwriting questions review needed,1.3333333333333333
366,REQVOO1UAPIAR88,PRCDT9O49WJ,2025-04,,,2.0,Customer request waiting response,30.625
366,REQVOO1UAPIAR88,PRCDT9O49WJ,2025-04,,,2.0,Customer request waiting response,88.66666666666667
370,REQVQ52IP1WW0AU,PRCGR8CUZVX,2025-11,,,1.0,Unknown,61.0
372,REQ1L5Y8QST5JJ6,PRCZY08M8OS,2025-03,,,1.0,Customer request waiting response,59.25
373,REQHTGNLE7XP1GJ,PRC32M0WQBO,2025-01,,,1.0,Customer request waiting response,2.5416666666666665
375,REQGCBY3JRD7HJ2,PRCSCR8VOG7,2025-03,,,1.0,Payment pending confirm receipt,1.75
377,REQGKX6AWB09Y8S,PRCSSN8VIW1,2025-06,,,3.0,Underwriting questions review needed,30.458333333333332
377,REQGKX6AWB09Y8S,PRCSSN8VIW1,2025-06,,,3.0,Underwriting questions review needed,60.833333333333336
377,REQGKX6AWB09Y8S,PRCSSN8VIW1,2025-06,,,3.0,Underwriting questions review needed,30.791666666666668
381,REQKIMPHWAPW80I,PRCAVJDNFEF,2025-10,,,1.0,Customer request waiting response,2.625
382,REQ1GGXM6H2PPXP,PRC3U53HSNA,2025-07,3.3333333333333335,1-4 days,2.0,Missing documents customer to provide,30.708333333333332
382,REQ1GGXM6H2PPXP,PRC3U53HSNA,2025-07,3.3333333333333335,1-4 days,2.0,Missing documents customer to provide,60.458333333333336
386,REQLPY2X0J9Q57Z,PRC6ZO3ZG5O,2025-05,,,1.0,Underwriting questions review needed,2.2083333333333335
387,REQVK5IK75UZCQJ,PRCEEEVV6M8,2025-10,3.4583333333333335,1-4 days,1.0,Unknown,1.0
388,REQFJV7YR0ZHOQX,PRCCQY3GT61,2025-02,,,2.0,Customer request waiting response,92.0
388,REQFJV7YR0ZHOQX,PRCCQY3GT61,2025-02,,,2.0,Customer request waiting response,30.166666666666668
390,REQYH8YBO953ZRI,PRCF7NCY6KJ,2025-12,,,2.0,Payment pending confirm receipt,0.4583333333333333
390,REQYH8YBO953ZRI,PRCF7NCY6KJ,2025-12,,,2.0,Payment pending confirm receipt,1.5416666666666667
394,REQLOR50SIYO6EF,PRCZXOBDNMO,2025-01,,,1.0,Payment pending confirm receipt,91.75
397,REQE50KG3QXMG62,PRC15OQO3ZM,2025-01,,,1.0,Missing documents customer to provide,31.083333333333332
402,REQZXABRGTE19KT,PRCHLW5LXKG,2025-08,,,1.0,Customer request waiting response,0.4583333333333333
406,REQ07N2S3ZJ1EYK,PRCXI48L6PN,2025-08,0.6666666666666666,1-4 days,2.0,Customer request waiting response,2.0833333333333335
406,REQ07N2S3ZJ1EYK,PRCXI48L6PN,2025-08,0.6666666666666666,1-4 days,2.0,Customer request waiting response,1.7916666666666667
408,REQSH0ZVI1XU1MV,PRCUVC4SPHG,2025-11,,,2.0,System issue retry later,0.20833333333333334
408,REQSH0ZVI1XU1MV,PRCUVC4SPHG,2025-11,,,2.0,System issue retry later,60.208333333333336
414,REQOCS1I329RXGO,PRCN1QFSK6A,2025-10,,,1.0,Customer request waiting response,1.1666666666666667
415,REQN42FGTCJ8LVA,PRC1COLBYRS,2025-01,3.9166666666666665,1-4 days,1.0,Underwriting questions review needed,61.583333333333336
417,REQF21USLOUA2HH,PRCZRZRLQ9W,2025-02,0.3333333333333333,1-4 days,2.0,Customer request waiting response,88.45833333333333
417,REQF21USLOUA2HH,PRCZRZRLQ9W,2025-02,0.3333333333333333,1-4 days,2.0,Customer request waiting response,31.041666666666668
421,REQHS5E9YBFDZ7A,PRCQKY9R0A5,2025-12,,,1.0,System issue retry later,32.0
423,REQN2UGAF6C6BOO,PRC6M5DCO5U,2025-03,12.125,7+ days,2.0,Unknown,29.583333333333332
423,REQN2UGAF6C6BOO,PRC6M5DCO5U,2025-03,12.125,7+ days,2.0,Unknown,30.958333333333332
426,REQY7IYDWDXX5HU,PRCT8NX3P4A,2025-03,,,1.0,Missing documents customer to provide,89.70833333333333
428,REQXDZ4MT6E15XC,PRCI3U48FJK,2025-02,,,1.0,Customer request waiting response,0.20833333333333334
430,REQJNFB44HJ7D8H,PRC0JQ3GZD9,2025-04,5.25,5-7 days,1.0,Underwriting questions review needed,0.4166666666666667
434,REQQXSHN3YMBRM1,PRC9RCHKMYU,2025-05,,,1.0,Unknown,0.9166666666666666
439,REQTAHRT80NVAMQ,PRCO1ZVP2EF,2025-04,,,1.0,Missing documents customer to provide,0.4166666666666667
441,REQF1YWJOQO4HFJ,PRCUB8Z8NDY,2025-12,,,1.0,Payment pending confirm receipt,29.583333333333332
443,REQ7VX1YWLKIE7K,PRCSAD5C2IM,2025-05,5.0,5-7 days,2.0,Missing documents customer to provide,1.75
443,REQ7VX1YWLKIE7K,PRCSAD5C2IM,2025-05,5.0,5-7 days,2.0,Missing documents customer to provide,0.5833333333333334
446,REQMOLP7KP5JLKE,PRCGMQC7F84,2025-08,,,2.0,Payment pending confirm receipt,58.833333333333336
453,REQNIX5KD7926PW,PRC7OZJ5D64,2025-07,,,1.0,System issue retry later,2.375
454,REQDJ1XCPXBLCI0,PRC0NQ4ZO7N,2025-08,,,1.0,Payment pending confirm receipt,61.625
457,REQV0BSE8RZ9JA9,PRC8WI09UQG,2025-07,,,1.0,Payment pending confirm receipt,2.2916666666666665
461,REQWRXYL84Q34B2,PRC7WLJ5JGV,2025-08,,,3.0,Unknown,0.4166666666666667
461,REQWRXYL84Q34B2,PRC7WLJ5JGV,2025-08,,,3.0,Unknown,1.7916666666666667
462,REQWDCZEICGYG96,PRCNHYYOQSF,2025-04,,,1.0,Underwriting questions review needed,2.5833333333333335
463,REQ6UKV7T7U792M,PRCTDRWYUBX,2025-03,,,1.0,Unknown,2.7083333333333335
464,REQGVAON0OOJBJ2,PRC0CS5P6VQ,2025-09,,,1.0,Missing documents customer to provide,30.666666666666668
470,REQG6XK6A98I15W,PRC2TQYYEAQ,2025-10,,,1.0,Missing documents customer to provide,0.6666666666666666
471,REQR2DLG8Q8II7C,PRCD1BAPLD1,2025-10,,,2.0,Unknown,61.958333333333336
471,REQR2DLG8Q8II7C,PRCD1BAPLD1,2025-10,,,2.0,Unknown,90.79166666666667
472,REQKTGYVYUXISLZ,PRCAX4WKTHB,2025-05,,,1.0,Underwriting questions review needed,60.583333333333336
475,REQ2IBF4QPDKJLW,PRC0493OSFZ,2025-08,,,1.0,Missing documents customer to provide,1.3333333333333333
483,REQG7T5XNRW4NUJ,PRC9QAK5D67,2025-01,,,1.0,Payment pending confirm receipt,0.8333333333333334
492,REQ9LX64GVOVXO7,PRCSNJL1FM0,2025-12,3.2083333333333335,1-4 days,1.0,System issue retry later,1.0416666666666667
494,REQ5EMKKZ6BQFQ8,PRCYIQ5HPRQ,2025-04,7.125,7+ days,1.0,Customer request waiting response,30.583333333333332
495,REQSS1KRPOB44Y6,PRCPCGMFKFT,2025-09,,,1.0,Customer request waiting response,0.4583333333333333
496,REQRWRZPS24NA6O,PRCNZNM74D7,2025-07,,,1.0,Missing documents customer to provide,0.3333333333333333
497,REQFYEJT53XEB9W,PRCS939CYK4,2025-10,3.0833333333333335,1-4 days,1.0,Customer request waiting response,0.375
